,shape_area,binomial
597,276982191.71644104,Cercopithecus mitis
598,1591243246.2746592,Cercopithecus mitis
599,1233769043623.9458,Triaenops persicus
600,58297798.499966405,Hypsugo anthonyi
601,927623654734.8273,Pipistrellus paterculus
602,7952468266717.945,Pipistrellus tenuis
603,160729482963.26257,Chaetodipus californicus
604,66220783.73908157,Sylvisorex isabellae
605,35201315.94542866,Chalinolobus tuberculatus
606,149411662780.71198,Chalinolobus tuberculatus
607,31790755317.17225,Microtus brachycercus
608,6662265467353.305,Chironectes minimus
609,105965401.40162791,Tadarida teniotis
610,2871419382.457594,Crocidura tansaniana
611,2578288001.503698,Crateromys heaneyi
612,90379391163.2712,Microtus brachycercus
613,497339881.17046076,Crocidura fumosa
614,767577415302.77,Fukomys bocagei
615,728108214404.9325,Dactylopsila trivirgata
616,98720418.70681974,Emballonura semicaudata
617,112284288.8424806,Ardops nichollsi
618,24899774.787281975,Ardops nichollsi
619,115162380545.00974,Chalinolobus morio
620,9690309935932.242,Chiroderma trinitatum
621,730795500.6772445,Chiruromys forbesi
622,31449755934.252502,Chiruromys forbesi
623,77897784.36798646,Crocidura wimmeri
624,547308515.123492,Crocidura grandis
625,65659289920.33105,Choeroniscus periosus
626,504991189.53870857,Chrysochloris visagiei
627,4980118156244.698,Chrysocyon brachyurus
628,3777935780297.7217,Cricetomys emini
629,1978964840.0021594,Atelerix algirus
630,4800001967074.604,Cricetulus longicaudatus
631,100570657061.31409,Crocidura congobelgica
632,141322890269.85992,Crossomys moncktoni
633,34243197076.812435,Crunomys melanius
634,6604659532839.878,Cynopterus sphinx
635,117301650910.32114,Dendrolagus goodfellowi
636,19382605443499.098,Desmodus rotundus
637,994854322.8573452,Desmodus rotundus
638,223872198998.9992,Cynopterus sphinx
639,10485543.981070379,Dobsonia praedatrix
640,3175382.543164923,Dobsonia praedatrix
641,2579226.9844136774,Dobsonia praedatrix
642,1663466.5876302698,Dobsonia praedatrix
643,4910878202.270217,Phyllomys unicolor
644,315276928401.95654,Eliurus myoxinus
645,175077391446.37863,Echymipera clara
646,712573922984.6097,Ellobius fuscocapillus
647,321530368546.4701,Protoxerus aubinnii
648,31490947426.46056,Acinonyx jubatus
649,172096182394.1706,Acinonyx jubatus
650,3854256982.06647,Acinonyx jubatus
651,5592686981.938256,Eudiscopus denticulus
652,1077145859506.7416,Lasiurus varius
653,209604453115.59204,Lonchophylla concava
654,299973119037.21326,Apodemus epimelas
655,222651867.87424466,Macaca fuscata
656,56985452571.50997,Eonycteris robusta
657,852697359.1824362,Hipposideros cervinus
658,725414749.5726428,Microcebus macarthurii
659,54970996623.33041,Acinonyx jubatus
660,135337928.33056623,Hipposideros cervinus
661,17712956073.73319,Acinonyx jubatus
662,663545543.3815767,Macaca fuscata
663,13017447847855.15,Eumops perotis
664,1095229309010.906,Eumops underwoodi
665,1749946765380.5603,Galea spixii
666,132828578.72506654,Gazella gazella
667,1921048684.5887895,Acinonyx jubatus
668,15690734282.179443,Acinonyx jubatus
669,433491445387.22424,Martes flavigula
670,3522910703540.0825,Graphiurus lorraineus
671,756905122796.9973,Gracilinanus microtarsus
672,3072087658.2039247,Acinonyx jubatus
673,467061964413.0892,Hesperoptenus blanfordi
