Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Draco dussumieri,159554.338,5.203,8.690,0.939,12.500,1.097,1.350,0.130,32.000,2068.000,566.000,615.000,0.240,3.317,Carnivorous,Indo-Malay,159515.146,"Sreekar, R., Purushotham, C.B., Saini, K., Rao, S.N., Pelletier, S. & Chaplod, S. (2013). Photographic Capture-Recapture Sampling for Assessing Populations of the Indian Gliding Lizard Draco dussumieri. PLoS One, 8.",Lizards
Egernia napoleonis,154221.596,5.188,54.075,1.733,89.300,1.951,0.090,-1.046,14.000,320.000,697.000,160.000,0.380,4.817,Omnivorous,Australasia,153174.485,"Christie, K., Craig, M. D., Stokes, V. L. and Hobbs, R. J. (2012). Home range size and micro-habitat density requirements of Egernia napoleonis: implications for restored jarrah forest of South Western Australia. Restroation Ecology, 20, 740-746.",Lizards
Elasmodactylus tuberculosus,699703.437,5.845,9.954,0.998,20.000,1.301,0.140,-0.854,24.000,331.250,516.250,259.250,0.122,5.575,Carnivorous,Afrotropic,699703.405,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Eremias grammica,1878665.555,6.274,22.856,1.359,4.000,0.602,1.000,0.000,72.000,96.000,2365.000,299.000,0.406,3.756,Carnivorous,Palearctic,1878669.005,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Eremias multiocellata,4662816.578,6.669,10.990,1.041,1.950,0.290,1.000,0.000,86.000,239.000,2576.750,1459.000,0.888,8.358,Carnivorous,Palearctic,4662823.247,"Rogovin, K.A., Semenov, D. V. & Shenbrot, G.I. (2000). Lizards of the Northern Mongolian Deserts : Densities and Community Structure. Asian Herpetol. Res., 9, 1–9.",Lizards
Eremias przewalskii,2317958.315,6.365,21.528,1.333,11.500,1.061,1.000,0.000,79.000,79.000,1655.750,802.000,0.626,8.508,Omnivorous,Palearctic,2317962.615,"Rogovin, K.A., Semenov, D. V. & Shenbrot, G.I. (2000). Lizards of the Northern Mongolian Deserts : Densities and Community Structure. Asian Herpetol. Res., 9, 1–9.",Lizards
Eremias velox,3618548.916,6.559,19.055,1.280,5.600,0.748,1.000,0.000,64.000,139.000,2672.500,503.000,0.533,6.221,Carnivorous,Palearctic,3618509.432,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Eremiascincus richardsonii,5496038.205,6.740,46.559,1.668,69.500,1.842,0.500,-0.301,50.000,178.000,1018.000,252.000,0.304,6.800,Carnivorous,Australasia,5491773.133,"Henle, K. (1989). Ecological segregation in a subterranean reptile assemblage in arid Australia. Amphibia-Reptilia, 10, 277–295.",Lizards
Eulamprus quoyii,763795.402,5.883,46.559,1.668,0.056,-1.249,2.400,0.380,35.000,340.500,1460.250,290.250,0.353,7.125,Omnivorous,Australasia,760456.539,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Gambelia wislizenii,1407651.011,6.148,73.790,1.868,0.460,-0.337,1.000,0.000,96.000,121.000,1251.000,667.000,0.296,12.102,Carnivorous,Nearctic,1407200.897,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Glaphyromorphus fuscicaudis,15329.896,4.186,15.996,1.204,0.098,-1.011,2.400,0.380,15.500,447.000,271.250,238.500,0.239,0.867,Carnivorous,Australasia,15252.149,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Glaphyromorphus mjobergi,32724.034,4.515,19.498,1.290,0.069,-1.163,2.400,0.380,25.000,487.000,628.000,309.000,0.204,1.508,Carnivorous,Australasia,32699.461,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Gonatodes albogularis,567598.773,5.754,2.716,0.434,132.500,2.122,0.030,-1.523,24.500,1234.000,354.000,427.500,0.249,10.571,Carnivorous,Neotropic,565730.392,"Heatwole, H. & Sexton, O.J. (1966). Herpetofaunal comparision between two climatic zones in Panama. Am. Midl. Nat., 75, 45–60.",Lizards
Gonatodes humeralis,7500934.042,6.875,2.553,0.407,12.308,1.090,2.600,0.415,12.000,709.000,258.000,173.000,0.042,9.992,Carnivorous,Neotropic,7481546.889,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Heliobolus spekii,1504767.122,6.177,5.058,0.704,311.350,2.493,0.140,-0.854,41.000,502.000,519.750,620.000,0.715,6.262,Carnivorous,Afrotropic,1503550.235,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Hemidactylus angulatus,7291750.248,6.863,7.413,0.870,30.500,1.484,0.140,-0.854,21.000,864.000,1494.000,268.000,0.655,13.298,Carnivorous,Afrotropic,7243264.148,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Hemidactylus mabouia,4085136.241,6.611,14.256,1.154,20.000,1.301,0.003,-2.602,28.000,857.250,1937.000,520.000,0.269,18.921,Carnivorous,Afrotropic,4080976.243,"Almeida-Gomes, M., Vrcibradic, D., Siqueira, C. C., Kiefer, M. C., Klaion, T., Almeida-Santos, P., Nascimento, D., Ariani, C. V., Borges-Junior, V. N., Freitas-Filho, R. F., van Sluys, M. and Rocha, C. F. (2008) Herpetofauna of an Atlantic rainforest area (Morro Sao Joao) in Rio de Janeiro State, Brazil. Anais da Academia Brasileira de Ciencias, 80, 291-300.",Lizards
Hesperoedura reticulata,112505.609,5.051,7.161,0.855,105.000,2.021,1.400,0.146,9.000,68.000,621.000,65.000,0.098,3.221,Omnivorous,Australasia,112505.609,"How, R. A. and Kitchener, D. J. (1983). The biology of the gecko Oedura reticulata Bustard, in a small habitat isolate in the Western Australian wheatbelt. Australian Wildlife Research, 10, 543-556.",Lizards
Heteronotia binoei,7132757.440,6.853,3.656,0.563,137.500,2.138,0.010,-2.000,56.000,320.000,1562.000,264.000,0.461,9.744,Carnivorous,Australasia,7117839.934,"Henle, K. (1990). Population Ecology and Life History of Three Terrestrial Geckos in Arid Australia. Copeia, 1990, 759.; Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Holbrookia maculata,1993543.019,6.300,14.622,1.165,20.100,1.303,2.250,0.352,68.000,222.000,2788.000,902.000,0.362,9.867,Carnivorous,Nearctic,1940591.881,"Jones, S.M. & Ballinger, R.E. (1987). Comparative Life Histories of Holbrookia Maculata and Sceloporus Undulatus in Western Nebraska. Ecology, 68, 1828–1838.",Lizards
Holcosus festivus,420174.239,5.623,92.470,1.966,13.460,1.129,2.600,0.415,17.000,1044.750,839.000,314.000,0.226,9.496,Carnivorous,Neotropic,415776.615,"Sebastian-Gonzalez, E. and Gomez, R. (2012). Differences in habitat use of two sympatric species of Ameiva in East Costa Rica. Acta Herpetologica, 7, 347-353.",Lizards
Holcosus quadrilineatus,48923.570,4.690,19.953,1.300,46.750,1.670,3.400,0.531,21.250,753.000,113.750,425.000,0.892,3.458,Carnivorous,Neotropic,48558.511,"Hirth, H.F. (1963). The Ecology of Two Lizards on a Tropical Beach. Ecol. Monogr., 33, 83–112.",Lizards
Hypsilurus boydii,32169.482,4.507,190.108,2.279,0.020,-1.697,2.400,0.380,20.000,739.500,576.500,351.500,0.345,3.837,Carnivorous,Australasia,32041.935,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Iberolacerta monticola,42970.045,4.633,13.964,1.145,274.000,2.438,1.000,0.000,40.000,226.000,988.500,782.000,0.128,4.696,Carnivorous,Palearctic,42745.897,"Martín, J. & Salvador, A. (1995). Microhabitat selection by the Iberian rock lizard Lacerta monticola: Effects on density and spatial distribution of individuals. Biol. Conserv., 79, 303–307.",Lizards
Iguana iguana,13249179.850,7.122,8222.426,3.915,33.000,1.519,1.070,0.029,24.000,1003.000,873.000,317.000,0.193,13.171,Herbivorous,Neotropic,13214581.210,"Henderson, R.W. (1974). Aspects of the Ecology of the Juvenile Common Iguana (Iguana iguana). Herpetologica, 30, 327–332.",Lizards
Iphisa elegans,5746569.300,6.759,1.742,0.241,0.385,-0.415,2.600,0.415,12.000,660.000,210.000,163.000,0.029,9.442,Carnivorous,Neotropic,5734652.711,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Kentropyx pelviceps,2641151.396,6.422,67.143,1.827,5.769,0.761,2.600,0.415,9.000,643.750,206.000,141.000,0.015,4.600,Carnivorous,Neotropic,2641151.431,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Kentropyx striata,1775243.545,6.249,62.517,1.796,15.000,1.176,0.100,-1.000,12.000,714.000,138.000,185.000,0.051,8.258,Carnivorous,Neotropic,1764464.087,"Magnusson, W.E., Franke, C.R. & Kasper, L.A. (1986). Factors Affecting Densities of Cnemidophorus lemniscatus. Copeia, 1986, 804–807.",Lizards
Lacerta viridis,1371065.323,6.137,91.411,1.961,1012.045,3.005,1.400,0.146,28.000,173.000,1339.750,407.000,0.167,6.333,Carnivorous,Palearctic,1367052.277,"Maura, M., Vignoli, L., Bologna, M. a., Rugiero, L. & Luiselli, L. (2011). Population density of syntopic, differently sized lizards in three fragmented woodlands from Mediterranean Central Italy. Community Ecol., 12, 249–258.",Lizards
Lampropholis coggeri,40326.136,4.606,1.633,0.213,3.996,0.602,2.400,0.380,21.750,778.250,682.250,382.500,0.342,4.442,Carnivorous,Australasia,40179.576,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Lampropholis delicata,642814.627,5.808,3.126,0.495,9250.000,3.966,0.000,-3.398,73.000,365.000,972.000,350.000,0.296,11.183,Carnivorous,Australasia,637465.554,"Howard, R., Williamson, I. & Mather, P. (2003). Structural Aspects of Microhabitat Selection by the Skink Lampropholis delicata. J. Herpetol., 37, 613–617.",Lizards
Lampropholis robertsi,11740.689,4.070,3.126,0.495,1.219,0.086,2.400,0.380,19.000,332.500,356.500,322.500,0.581,0.840,Carnivorous,Australasia,11622.197,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Latastia longicaudata,7012291.606,6.846,30.269,1.481,4.300,0.633,0.140,-0.854,29.000,537.000,1991.000,345.000,0.852,8.767,Carnivorous,Afrotropic,5982007.725,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Lepidoblepharis xanthostigma,317893.709,5.502,2.244,0.351,91.667,1.962,0.060,-1.222,29.000,1314.000,198.500,431.250,0.198,7.506,Carnivorous,Neotropic,317464.917,"Heinen, L.T. (1992). Comparisons of the leaf litter herpetofauna in abandoned cacao plantation and primary rain forest in Costa Rica: some implications for faunal restoration. Biotropica, 24, 431–439.",Lizards
Leposoma scincoides,106437.420,5.027,2.037,0.309,30.000,1.477,0.003,-2.602,18.000,160.000,357.000,301.000,0.107,4.425,Carnivorous,Neotropic,106435.466,"Almeida-Gomes, M., Vrcibradic, D., Siqueira, C. C., Kiefer, M. C., Klaion, T., Almeida-Santos, P., Nascimento, D., Ariani, C. V., Borges-Junior, V. N., Freitas-Filho, R. F., van Sluys, M. and Rocha, C. F. (2008) Herpetofauna of an Atlantic rainforest area (Morro Sao Joao) in Rio de Janeiro State, Brazil. Anais da Academia Brasileira de Ciencias, 80, 291-300.",Lizards
Lerista elegans,94963.431,4.978,0.759,-0.120,174.000,2.241,1.000,0.000,39.000,302.750,504.750,158.500,0.506,9.658,Carnivorous,Australasia,92524.198,"Davidge, C. (1979). A census of a community of small terrestrial vertebrates. Australian Journal of Ecology, 4, 165-170.",Lizards
Lerista lineata,12122.039,4.084,1.675,0.224,43.000,1.633,1.000,0.000,13.500,223.750,658.750,190.750,0.390,1.342,Carnivorous,Australasia,12030.006,"Davidge, C. (1979). A census of a community of small terrestrial vertebrates. Australian Journal of Ecology, 4, 165-170.",Lizards
Lophognathus temporalis,452447.528,5.656,123.595,2.092,116.000,2.064,1.100,0.041,8.000,484.000,1264.000,123.000,0.311,6.721,Carnivorous,Australasia,447483.613,"Christian, K., Bedford, G., Green, B., Griffiths, A., Newgrain, K. & Schultz, T. (1999). Physiological ecology of a tropical dragon, Lophognathus temporalis. Aust. J. Ecol., 24, 171–181.",Lizards
Lucasium damaeum,1893972.314,6.277,3.724,0.571,101.200,2.005,0.010,-2.000,25.000,127.000,627.000,185.000,0.234,8.431,Carnivorous,Australasia,1893732.999,"Henle, K. (1990). Population Ecology and Life History of Three Terrestrial Geckos in Arid Australia. Copeia, 1990, 759.; Henle, K. (1991). Life History Patterns in Lizards of the Arid and Semiarid Zone of Australia. Oecologia, 88, 347–358.",Lizards
Lucasium stenodactylum,4061214.789,6.609,4.853,0.686,55.000,1.740,0.300,-0.523,44.000,217.000,1527.000,281.000,0.266,4.046,Carnivorous,Australasia,4054063.850,"Morton, S.R. & James, C.D. (1988). The diversity and abundance of lizards in arid Australia: A new hypothesis. Am. Nat., 132, 237–256.",Lizards
Lygisaurus malleolus,36320.099,4.560,0.555,-0.256,11.800,1.072,1.000,0.000,24.250,543.500,254.750,304.250,0.189,1.508,Carnivorous,Australasia,36236.840,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Lygodactylus capensis,2689574.028,6.430,1.854,0.268,56.250,1.750,1.000,0.000,26.000,441.000,1499.000,591.000,0.285,9.538,Carnivorous,Afrotropic,2687944.698,"Jacobsen, N.H.G. (1982). The ecology of the reptiles and amphibians in the Burkea africana - Eragrostis pallens savana of the Nylsvley nature resurve. M.Sc. University of Pretoria.",Lizards
Mabuya mabouya,1143.206,3.058,34.754,1.541,0.769,-0.114,2.600,0.415,11.500,632.500,3.000,142.000,0.005,0.000,Carnivorous,Neotropic,1100.586,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Marisora unimarginata,751715.339,5.876,16.444,1.216,8.333,0.921,0.060,-1.222,16.000,1267.000,1095.500,337.750,0.174,6.646,Carnivorous,Neotropic,749281.630,"Heinen, L.T. (1992). Comparisons of the leaf litter herpetofauna in abandoned cacao plantation and primary rain forest in Costa Rica: some implications for faunal restoration. Biotropica, 24, 431–439.",Lizards
Menetia greyii,6973995.665,6.843,1.117,0.048,3.000,0.477,1.000,0.000,56.000,289.000,1473.000,257.000,0.449,9.283,Carnivorous,Australasia,6959841.961,"Davidge, C. (1979). A census of a community of small terrestrial vertebrates. Australian Journal of Ecology, 4, 165-170.",Lizards
Mochlus sundevalli,5321059.685,6.726,63.826,1.805,12.000,1.079,0.140,-0.854,33.000,516.000,1861.000,616.000,0.411,8.583,Carnivorous,Afrotropic,5320189.602,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Nactus cheverti,37619.835,4.575,4.036,0.606,0.068,-1.166,2.400,0.380,26.000,603.500,506.500,389.500,0.204,1.767,Carnivorous,Australasia,37466.789,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Nephrurus levis,4145236.691,6.618,19.143,1.282,34.000,1.531,0.300,-0.523,40.000,125.000,848.000,274.000,0.167,4.767,Carnivorous,Australasia,4142511.547,"Morton, S.R. & James, C.D. (1988). The diversity and abundance of lizards in arid Australia: A new hypothesis. Am. Nat., 132, 237–256.",Lizards
Phrynocephalus guttatus,1708130.330,6.233,8.770,0.943,13.100,1.117,0.500,-0.301,33.000,123.000,1824.500,337.000,0.413,8.067,Omnivorous,Palearctic,1708130.037,"Rogovin, K. a & Semenov, D. V. (2002). Demography of translocated population of Toad-headed Agama Phrynocephalus guttatus in Southern Kalmykya. Russ. J. Herpetol., 9, 169–176.",Lizards
Phrynocephalus helioscopus,6199924.765,6.792,11.041,1.043,8.000,0.903,1.000,0.000,79.000,203.000,2235.750,497.000,0.566,11.600,Carnivorous,Palearctic,6199925.541,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Phrynocephalus interscapularis,1179184.151,6.072,2.259,0.354,68.300,1.834,1.000,0.000,38.000,57.000,1897.000,149.000,0.469,4.042,Carnivorous,Palearctic,1179178.806,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Phrynocephalus mystaceus,2181218.960,6.339,63.096,1.800,2.800,0.447,1.000,0.000,53.000,100.000,2101.000,234.000,0.500,6.850,Carnivorous,Palearctic,2181208.288,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Phrynocephalus przewalskii,3274834.312,6.515,24.099,1.382,200.000,2.301,0.400,-0.398,69.000,316.000,3844.500,1527.750,0.919,7.654,Carnivorous,Palearctic,3274850.473,"Lian, X., Jiang, Z., Ping, X., Tang, S., Bi, J. and Li, C. (2012). Spatial distribution pattern of the steppe toad-headed lizard (Phrynocephalus frontalis) and its influencing factors. Asian Herpetological Research, 3, 46-51.",Lizards
Phrynocephalus versicolor,4003369.647,6.602,9.638,0.984,31.750,1.502,1.000,0.000,75.000,213.000,2263.000,693.000,0.881,8.392,Omnivorous,Palearctic,4003382.023,"Rogovin, K.A., Semenov, D. V. & Shenbrot, G.I. (2000). Lizards of the Northern Mongolian Deserts : Densities and Community Structure. Asian Herpetol. Res., 9, 1–9.",Lizards
Phrynosoma blainvillii,216635.608,5.336,44.771,1.651,256.500,2.409,2.400,0.380,28.500,274.500,2079.500,715.500,0.375,3.625,Carnivorous,Nearctic,216268.439,"Gerson, M.M. (2011). Population status and habitat affinities of the Blainville’s Horned Lizard (Phrynosoma blainvillii) at a site in the Northern San Joaquin Valley, California, USA. Herpetol. Conserv. Biol., 6, 228–236.",Lizards
Phrynosoma cornutum,1833584.188,6.263,63.680,1.804,0.550,-0.260,1.000,0.000,43.000,420.000,2102.500,1049.000,0.477,11.746,Carnivorous,Nearctic,1826900.781,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Phrynosoma douglasii,373397.724,5.572,57.280,1.758,99.500,1.998,1.000,0.000,26.000,142.000,1273.000,739.000,0.297,11.708,Carnivorous,Nearctic,373397.723,"Guyer, C. & Linder, a. O. (1985a). Growth and Population Structure of the Short-Horned Lizard (Phrynosoma douglassi) and the Sagebrush Lizard (Sceloporus graciosus) in southeastern ldaho. Northwest Sci., 59, 294–303.",Lizards
Phrynosoma modestum,823619.751,5.916,12.618,1.101,1.000,0.000,1.000,0.000,32.000,125.000,2001.000,553.500,0.303,15.508,Carnivorous,Nearctic,823598.601,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Phrynosoma solare,342351.331,5.534,48.084,1.682,0.318,-0.497,3.140,0.497,57.000,327.000,2104.250,853.750,0.434,17.023,Carnivorous,Nearctic,278012.211,"Germaine, S.S. & Wakeling, B.F. (2001). Lizard species distributions and habitat occupation along an urban gradient in Tucson, Arizona, USA. Biol. Conserv., 97, 229–237.",Lizards
Plestiodon obsoletus,1851986.642,6.268,68.391,1.835,56.790,1.754,0.810,-0.092,52.000,303.000,2216.000,959.000,0.407,11.821,Carnivorous,Nearctic,1851327.384,"Fitch, H. S. (1955) Habits and adaptations of the Great Plains skink (Eumeces obsoletus). Ecological Monographs, 25, 59-83., Fitch, H. S. (1967). Ecological studies of lizards on the University of Kansas Natural History Reservation. Pages 30-44 In W.W. Milstead (ed.), Lizard Ecology: A Symposium.",Lizards
Plestiodon reynoldsi,10350.707,4.015,5.358,0.729,387.500,2.588,0.040,-1.398,11.500,43.000,613.250,12.250,0.070,0.475,Carnivorous,Nearctic,10350.707,"Sutton, P.E., Mushinsky, H.R. & McCoy, E.D. (1999). Comparing the use of pitfall drift fences and cover boards for sampling the threatened sand skink (Neoseps reynoldsi). Herpetol. Rev., 30, 149–151.",Lizards
