Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Concinnia brachyosoma,207285.201,5.317,8.954,0.952,0.398,-0.401,2.400,0.380,20.000,456.250,752.250,270.000,0.227,3.575,Carnivorous,Australasia,205120.231,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Concinnia queenslandiae,30333.429,4.482,12.735,1.105,1.794,0.254,2.400,0.380,22.250,676.000,512.750,406.250,0.377,4.181,Carnivorous,Australasia,30194.754,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Concinnia tigrinus,21571.304,4.334,12.735,1.105,0.121,-0.919,2.400,0.380,21.750,763.250,374.500,328.000,0.437,1.879,Carnivorous,Australasia,21489.902,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Congolacerta vauereselli,94892.143,4.977,5.572,0.746,8.000,0.903,0.125,-0.903,32.000,407.000,73.000,574.000,0.113,4.379,Carnivorous,Afrotropic,94892.145,"Vonesh, J.R. (2001). Patterns of richness and abundance in a tropical african Leaf-litter Herpetofauna. Biotropica, 33, 502–510.",Lizards
Cophosaurus texanus,1343403.647,6.128,23.121,1.364,107.000,2.029,1.500,0.176,38.500,237.500,1709.500,918.500,0.395,16.433,Carnivorous,Nearctic,1337888.758,"Howland, J. (1992). Life history of Cophosaurus texanus (Sauria: Iguanidae): environmental correlates and interpopulational variation. Copeia, 1992, 82–93.",Lizards
Crotaphytus collaris,1914674.011,6.282,62.230,1.794,0.150,-0.824,1.000,0.000,50.000,369.000,1659.500,1113.000,0.497,12.483,Carnivorous,Nearctic,1914024.160,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Ctenophorus adelaidensis,401340.461,5.604,4.656,0.668,4.000,0.602,1.000,0.000,11.000,141.000,707.500,169.000,0.455,7.204,Carnivorous,Australasia,398422.850,"Davidge, C. (1979). A census of a community of small terrestrial vertebrates. Australian Journal of Ecology, 4, 165-170.",Lizards
Ctenophorus fionni,94429.747,4.975,29.444,1.469,28.000,1.447,1.000,0.000,12.000,119.250,1227.500,97.250,0.326,4.950,Carnivorous,Australasia,93404.943,"Johnston, G. (2000). Population density and habitat use in the Peninsula Dragon Lizard (Ctenophorus fionni). Herpetofauna, 30, 34–36.",Lizards
Ctenophorus ornatus,283943.217,5.453,28.510,1.455,44.730,1.651,3.000,0.477,30.000,86.000,1198.000,116.000,0.227,9.327,Carnivorous,Australasia,283891.330,"Bradshaw, S. (1971). Growth and mortality in a field population of Amphibolurus lizards exposed to seasonal cold and aridity. J. Zool., 165, 1–25.",Lizards
Ctenosaura palearis,5173.147,3.714,1276.439,3.106,0.600,-0.222,0.010,-2.000,21.250,507.000,239.500,282.750,0.152,5.321,Herbivorous,Neotropic,5173.142,"Coti, P. and Ariano-Sanchez, D. (2008). Ecology and traditional use of the Guatemalan black iguana (Ctenosaura palearis) in the dry forests of the Motagua Valley, Guatemala. Iguana, 15, 142-149.",Lizards
