"","Range_size"
"121097935",17958800915.0855
"12142",1418356350735.76
"12263",938831432.172702
"12264",28619179110.7618
"12265",124131627936.267
"12266",275064222158.873
"12267",20483630517.8427
"12268",1116127352886.38
"12269",8383354135936.2
"12270",11577000192695.1
"12271",105607866961.094
"12272",161297621121.515
"12273",386541601161.703
"12274",378168057214.413
"12302",19086449836679.7
"12303",193053729148.845
"12304",15024029538586.1
"12305",125851819153.617
"12308",424237645129.083
"12309",1461558882770.99
"12310",720420895521.717
"12349",342454284.771013
"12350",7510562276.75038
"12351",10810378558.0845
"12352",4293324969.0108
"12354",63598451033.4882
"12355",612364713696.409
"12356",3320549218658.24
"12357",52330475692.1393
"12361",251854494385.574
"12375",15402283005.9784
"12392",3331648547686.3
"12419",27068053046251.4
"12420",9962749569468.16
"12421",865484758676.018
"12427",4875736326680.77
"12436",1272642746006.65
"12518",8327766463800.01
"12519",20817796119992.6
"12520",1191691674.01666
"12521",9879514311544.14
"12548",1423079517940.9
"12549",1808669972068.71
"12550",26772774067.8815
"12551",2697162958586.85
"12552",157042032264.246
"12553",4790632009.59432
"12554",7513323162127.81
"12555",1366583932438.5
"12556",7665756078.29633
"12557",43070364017.095
"12558",622337657684.62
"12559",27905779291.507
"12560",46491183953.325
"12561",41523155517.8288
"12562",1327324540190.67
"12563",81339184272.7803
"12568",9771556814.34197
"12570",23994723939.6215
"12590",1078953529746.92
"12592",34097051975.6863
"12594",3590246002460.7
"12595",2435637814989.49
"12615",13066617648523.8
"12620",30111040637.271
"12626",152879449968.36
"12627",50622903355.578
"1264",57114934434.5899
"12646",2998651067.81767
"12647",152421240641.737
"1265",139008134140.938
"12650",1080000839479.42
"12652",643197453835.235
"12653",802742383551.986
"12655",339806125.189293
"12656",164573026635.395
"12667",183075075878.941
"12668",1098767269784.26
"12669",1270987097315.36
"12670",1336496837940.07
"12702",240684237977.264
"12703",482419296388.075
"12704",1218174719617.75
"1271",228613140662.261
"12712",1387360956699.33
"12721",136592077127.143
"12722",928000120.759331
"12723",75500661643.6785
"12724",190242218325.012
"12753",44099652116.7493
"12754",324896986830.265
"12761",3290299042308.83
"12762",3295263725432.81
"12763",2319150086008.99
"12764",2676856945713.41
"12765",7024457302763.83
"12766",2711479067101.49
"12767",5933685236372.08
"12795",43616818833.1037
